target,m,m_total,delta_median,delta_max,J_star_proxy,mdelta_med_ratio,mdelta_max_ratio,coverage,obs_fraction
creating_bar_charts_1,32,40,0.061821106572102935,0.43509677632858035,40.68788024478114,0.04862075385608319,0.3421927305810046,0.65625,0.8
cube_rectangular_and_regular_tetrahedron,0,1,,,0.0,,,0.0,0.0
cube_roots,60,71,0.06939134890861143,0.43509677632858035,87.2967309573348,0.04769343466654594,0.2990467832349153,0.7833333333333333,0.8450704225352113
cube_volume_calculation,0,1,,,0.0,,,0.0,0.0
cuboid_volume_calculation,0,1,,,0.0,,,0.0,0.0
date_and_weekday,7,7,0.09296516338104244,0.15484009743694982,8.414624630731126,0.07733632481841968,0.12880915425510467,0.7142857142857143,1.0
decimal_multiplier_calculation,33,42,0.07657797217665996,0.4945502143062575,49.814778580892934,0.050729385010236064,0.32761677431938424,0.6363636363636364,0.7857142857142857
decimal_two_steps,42,53,0.0729846605426357,0.43509677632858035,60.356299638381174,0.05078766858068629,0.3027697972753074,0.7142857142857143,0.7924528301886793
decimals_distributive_law_of_multiplication,88,104,0.1005543181969284,0.4403701299978366,138.90297615431876,0.06370475454391171,0.2789902168601211,0.8295454545454546,0.8461538461538461
define_one_function,108,124,0.10173793840541823,0.4403701299978366,182.67175761279088,0.06014995142859345,0.26035756518300535,0.8425925925925926,0.8709677419354839
dependent_probability,89,105,0.09271353734998661,0.4403701299978366,221.74876282416628,0.03721105235970027,0.17674480376192744,0.8426966292134831,0.8476190476190476
difference_between_solid_and_plane_graphics,0,1,,,0.0,,,0.0,0.0
discount_tax_and_tip_word_problems,90,107,0.09863432067416428,0.4403701299978366,145.06694000476566,0.06119305239624659,0.27320705667675405,0.8444444444444444,0.8411214953271028
distance_between_point_and_line,122,138,0.1019728915014741,0.46912843819533206,221.52301682118625,0.05615982005708232,0.25836443671236936,0.8032786885245902,0.8840579710144928
distributive_property_with_variables,0,1,,,0.0,,,0.0,0.0
dividing_complex_numbers,126,142,0.10586157173756305,0.4633152173913043,220.6650205921588,0.06044708854687829,0.2645535628376741,0.8174603174603174,0.8873239436619719
dividing_decimals,37,47,0.07657797217665996,0.43509677632858035,46.120299287029454,0.06143466140370992,0.34905629349818473,0.7297297297297297,0.7872340425531915
dividing_fractions_word_problems,84,100,0.0917448901480353,0.4403701299978366,124.8923551539139,0.061705704588063855,0.29618378862526434,0.8333333333333334,0.84
dividing_polynomials_4,127,143,0.11611887010395883,0.4633152173913043,221.92778901086925,0.06644997712512925,0.2651359384552505,0.8267716535433071,0.8881118881118881
dividing_polynomials_6,127,143,0.11611887010395883,0.491285403050109,223.4116216238979,0.06600863641744098,0.2792748458376964,0.8267716535433071,0.8881118881118881
divisibility,34,41,0.0729846605426357,0.43509677632858035,44.96578871395763,0.05518592088387741,0.3289899013954094,0.7058823529411765,0.8292682926829268
division_1.4,27,34,0.061821106572102935,0.43509677632858035,32.21996020518443,0.051805460553554554,0.36460668747137037,0.6296296296296297,0.7941176470588235
division_2.9,28,35,0.06594057588356228,0.43509677632858035,34.20823625582187,0.05397343817822579,0.35613381660759796,0.6428571428571429,0.8
division_word_problems_2,34,42,0.06594057588356228,0.46525967695976245,41.81011492339123,0.053622899246966955,0.3783493311514881,0.7058823529411765,0.8095238095238095
draw_a_pie_chart,72,84,0.08568936424371348,0.43509677632858035,112.54076396894123,0.054821328805356735,0.27836107371994856,0.8055555555555556,0.8571428571428571
ecology_bctest_cap,0,1,,,0.0,,,0.0,0.0
empirical_rule,69,80,0.07588354998428126,0.43509677632858035,274.85747464454465,0.019049745529703132,0.10922634578338149,0.7536231884057971,0.8625
environment_bctest_cap,0,1,,,0.0,,,0.0,0.0
equation_of_a_circle_2,122,138,0.1005543181969284,0.4633152173913043,210.25869546886642,0.05834539585946287,0.2688329079360661,0.8114754098360656,0.8840579710144928
equation_of_a_hyperbola,122,138,0.1005543181969284,0.4633152173913043,215.64505910523005,0.05688804960766076,0.26211802281153324,0.8114754098360656,0.8840579710144928
equation_of_an_ellipse,122,138,0.1005543181969284,0.4633152173913043,211.47839243856342,0.058008890074143775,0.2672824200617093,0.8114754098360656,0.8840579710144928
