method,display_name,target_node,planned_runs,provider_responses,valid_runs,model_invalid_runs,transport_ambiguous_runs,model_validity_rate,validity_rate,pipeline_yield,mean_evaluation_cost,median_evaluation_cost,optimal_cost,mean_normalized_regret,median_normalized_regret,std_normalized_regret,p05_normalized_regret,p95_normalized_regret,min_normalized_regret,max_normalized_regret
bkt_set_lao,BKT-set LAO*,18,1,1,1,0,0,1.0,1.0,1.0,2499.8593117563987,2499.8593117563987,2499.402241030157,0.00018287201585188718,0.00018287201585188718,0.0,0.00018287201585188718,0.00018287201585188718,0.00018287201585188718,0.00018287201585188718
bkt_set_lao,BKT-set LAO*,29,1,1,1,0,0,1.0,1.0,1.0,536.5474715636964,536.5474715636964,536.5474715636964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bkt_set_lao,BKT-set LAO*,36,1,1,1,0,0,1.0,1.0,1.0,2711.206070062264,2711.206070062264,2710.7489993360227,0.0001686141824098839,0.0001686141824098839,0.0,0.0001686141824098839,0.0001686141824098839,0.0001686141824098839,0.0001686141824098839
bkt_set_lao,BKT-set LAO*,39,1,1,1,0,0,1.0,1.0,1.0,2413.5292812529824,2413.5292812529824,2412.3449305605654,0.000490954124102702,0.000490954124102702,0.0,0.000490954124102702,0.000490954124102702,0.000490954124102702,0.000490954124102702
bkt_set_lao,BKT-set LAO*,42,1,1,1,0,0,1.0,1.0,1.0,2375.363724611867,2375.363724611867,2373.8902194904344,0.0006207132534329137,0.0006207132534329137,0.0,0.0006207132534329137,0.0006207132534329137,0.0006207132534329137,0.0006207132534329137
bkt_set_lao,BKT-set LAO*,46,1,1,1,0,0,1.0,1.0,1.0,1195.2173457615563,1195.2173457615563,1194.9513235411628,0.00022262180488257194,0.00022262180488257194,0.0,0.00022262180488257194,0.00022262180488257194,0.00022262180488257194,0.00022262180488257194
bkt_set_lao,BKT-set LAO*,52,1,1,1,0,0,1.0,1.0,1.0,2348.3442278378125,2348.3442278378125,2347.887157111571,0.0001946732085726616,0.0001946732085726616,0.0,0.0001946732085726616,0.0001946732085726616,0.0001946732085726616,0.0001946732085726616
dkt_set_greedy,DKT-set Greedy,6,1,1,1,0,0,1.0,1.0,1.0,708.9110672643005,708.9110672643005,708.9110672643005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dkt_set_greedy,DKT-set Greedy,7,1,1,1,0,0,1.0,1.0,1.0,1322.5632268387903,1322.5632268387903,1322.4514196191788,8.454542673770843e-05,8.454542673770843e-05,0.0,8.454542673770843e-05,8.454542673770843e-05,8.454542673770843e-05,8.454542673770843e-05
dkt_set_greedy,DKT-set Greedy,12,1,1,1,0,0,1.0,1.0,1.0,1789.6569864081405,1789.6569864081405,1789.5451791885284,6.247800888868626e-05,6.247800888868626e-05,0.0,6.247800888868626e-05,6.247800888868626e-05,6.247800888868626e-05,6.247800888868626e-05
dkt_set_greedy,DKT-set Greedy,18,1,1,1,0,0,1.0,1.0,1.0,2499.5140482497686,2499.5140482497686,2499.402241030157,4.4733583805116765e-05,4.4733583805116765e-05,0.0,4.4733583805116765e-05,4.4733583805116765e-05,4.4733583805116765e-05,4.4733583805116765e-05
dkt_set_greedy,DKT-set Greedy,29,1,1,1,0,0,1.0,1.0,1.0,536.5474715636964,536.5474715636964,536.5474715636964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dkt_set_greedy,DKT-set Greedy,36,1,1,1,0,0,1.0,1.0,1.0,2710.860806555634,2710.860806555634,2710.7489993360227,4.1245876928756867e-05,4.1245876928756867e-05,0.0,4.1245876928756867e-05,4.1245876928756867e-05,4.1245876928756867e-05,4.1245876928756867e-05
dkt_set_greedy,DKT-set Greedy,39,1,1,1,0,0,1.0,1.0,1.0,2412.5065593363965,2412.5065593363965,2412.3449305605654,6.700069040025147e-05,6.700069040025147e-05,0.0,6.700069040025147e-05,6.700069040025147e-05,6.700069040025147e-05,6.700069040025147e-05
dkt_set_greedy,DKT-set Greedy,42,1,1,1,0,0,1.0,1.0,1.0,2374.236532105253,2374.236532105253,2373.8902194904344,0.00014588400591366912,0.00014588400591366912,0.0,0.00014588400591366912,0.00014588400591366912,0.00014588400591366912,0.00014588400591366912
dkt_set_greedy,DKT-set Greedy,46,1,1,1,0,0,1.0,1.0,1.0,1194.9513235411628,1194.9513235411628,1194.9513235411628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dkt_set_greedy,DKT-set Greedy,52,1,1,1,0,0,1.0,1.0,1.0,2347.998964331183,2347.998964331183,2347.887157111571,4.7620354868062387e-05,4.7620354868062387e-05,0.0,4.7620354868062387e-05,4.7620354868062387e-05,4.7620354868062387e-05,4.7620354868062387e-05
dkt_set_lao,DKT-set LAO*,6,1,1,1,0,0,1.0,1.0,1.0,708.9110672643005,708.9110672643005,708.9110672643005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dkt_set_lao,DKT-set LAO*,7,1,1,1,0,0,1.0,1.0,1.0,1322.905082309534,1322.905082309534,1322.4514196191788,0.0003430467717943834,0.0003430467717943834,0.0,0.0003430467717943834,0.0003430467717943834,0.0003430467717943834,0.0003430467717943834
dkt_set_lao,DKT-set LAO*,12,1,1,1,0,0,1.0,1.0,1.0,1789.9988418788841,1789.9988418788841,1789.5451791885284,0.0002535072573923098,0.0002535072573923098,0.0,0.0002535072573923098,0.0002535072573923098,0.0002535072573923098,0.0002535072573923098
dkt_set_lao,DKT-set LAO*,18,1,1,1,0,0,1.0,1.0,1.0,2499.8559037205123,2499.8559037205123,2499.402241030157,0.00018150847546992034,0.00018150847546992034,0.0,0.00018150847546992034,0.00018150847546992034,0.00018150847546992034,0.00018150847546992034
dkt_set_lao,DKT-set LAO*,29,1,1,1,0,0,1.0,1.0,1.0,536.5474715636964,536.5474715636964,536.5474715636964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dkt_set_lao,DKT-set LAO*,36,1,1,1,0,0,1.0,1.0,1.0,2711.2026620263778,2711.2026620263778,2710.7489993360227,0.00016735695206976102,0.00016735695206976102,0.0,0.00016735695206976102,0.00016735695206976102,0.00016735695206976102,0.00016735695206976102
dkt_set_lao,DKT-set LAO*,39,1,1,1,0,0,1.0,1.0,1.0,2413.0099637476233,2413.0099637476233,2412.3449305605654,0.00027567914465004783,0.00027567914465004783,0.0,0.00027567914465004783,0.00027567914465004783,0.00027567914465004783,0.00027567914465004783
dkt_set_lao,DKT-set LAO*,42,1,1,1,0,0,1.0,1.0,1.0,2374.34388218079,2374.34388218079,2373.8902194904344,0.00019110516848284026,0.00019110516848284026,0.0,0.00019110516848284026,0.00019110516848284026,0.00019110516848284026,0.00019110516848284026
